[2018-08-18 17:06:57:0003] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:57:0003] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:57:0014] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:57:0014] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:57:0014] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:57:0014] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:57:0025] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:57:0025] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:57:0025] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:57:0025] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:57:0035] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:57:0035] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:57:0035] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:57:0035] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:57:0046] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:57:0046] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:57:0046] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:57:0046] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:57:0057] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:57:0057] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:57:0057] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:57:0057] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:57:0067] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
[2018-08-18 17:06:57:0067] |   GigEVisionGVCP.cpp-L1607: gvcp UDP_Writen pre send len[12], IP[a9feec3c], Port[3956], return[-1]!
[2018-08-18 17:06:57:0067] |           NetUDP.cpp-L0710: sendto errror! [10093], preSend[12], actually send[-1]
